_id,usuario_id,tipo,titulo,mensagem,dados.pedido_id,dados.restaurante_id,data_criacao,lida,data_leitura,acao.tipo,acao.parametros.pedido_id,plataforma[0],enviada,prioridade
683d8d07c709d34c0311efca,683d8d05c709d34c0311e2fe,promocao,Minima appello cur ager.,Astrum avarus sufficio facilis consectetur theca volup tempora nobis.,683d8d06c709d34c0311e830,683d8d05c709d34c0311e493,2024-12-31T11:52:18.408Z,false,,abrir_pedido,683d8d06c709d34c0311e830,app_mobile,true,baixa
683d8d07c709d34c0311efd2,683d8d05c709d34c0311e448,status_pedido,Minus similique defero placeat.,Considero amplus cogito.,683d8d06c709d34c0311e832,683d8d05c709d34c0311e4a2,2025-03-10T21:46:17.908Z,false,,abrir_pedido,683d8d06c709d34c0311e832,app_mobile,true,baixa
683d8d07c709d34c0311efd3,683d8d05c709d34c0311e3b8,promocao,Sollers stipes torrens triumphus.,Corpus aegre ascit crustulum.,683d8d06c709d34c0311e833,683d8d05c709d34c0311e482,2025-05-05T11:14:13.842Z,false,,abrir_pedido,683d8d06c709d34c0311e833,app_mobile,true,alta
683d8d07c709d34c0311efd5,683d8d05c709d34c0311e3b8,status_pedido,Corroboro animadverto addo aspernatur.,Alius nesciunt suasoria sol rerum soleo.,683d8d06c709d34c0311e833,683d8d05c709d34c0311e482,2025-05-21T03:03:24.658Z,false,,abrir_pedido,683d8d06c709d34c0311e833,app_mobile,true,alta
683d8d07c709d34c0311efe1,683d8d05c709d34c0311e42a,promocao,Antiquus deduco neque solus.,Conicio curriculum esse reiciendis ocer clam censura.,683d8d06c709d34c0311e837,683d8d05c709d34c0311e47f,2025-01-16T15:47:22.284Z,true,,abrir_pedido,683d8d06c709d34c0311e837,app_mobile,true,alta
683d8d07c709d34c0311efe4,683d8d05c709d34c0311e3f2,promocao,Currus expedita desipio adstringo.,Defleo arx acerbitas curo auctus autem confido thymum.,683d8d06c709d34c0311e838,683d8d05c709d34c0311e484,2024-09-18T15:12:30.315Z,false,,abrir_pedido,683d8d06c709d34c0311e838,app_mobile,true,media
683d8d07c709d34c0311efe8,683d8d05c709d34c0311e40e,status_pedido,Dolore odio denego adamo.,Cedo thema spoliatio.,683d8d06c709d34c0311e83a,683d8d05c709d34c0311e48d,2024-10-20T21:38:59.211Z,false,,abrir_pedido,683d8d06c709d34c0311e83a,app_mobile,true,baixa
683d8d07c709d34c0311efe9,683d8d05c709d34c0311e40e,promocao,Deinde aperio occaecati aureus.,Adiuvo sursum alioqui.,683d8d06c709d34c0311e83a,683d8d05c709d34c0311e48d,2025-01-26T03:50:35.583Z,false,,abrir_pedido,683d8d06c709d34c0311e83a,app_mobile,true,media
683d8d07c709d34c0311efea,683d8d05c709d34c0311e40e,avaliacao_lembrete,Vereor molestiae dolorum denego.,Adversus curia suasoria vel supplanto claro adfectus tui sit careo.,683d8d06c709d34c0311e83a,683d8d05c709d34c0311e48d,2025-05-15T20:54:14.015Z,false,,abrir_pedido,683d8d06c709d34c0311e83a,app_mobile,true,alta
683d8d07c709d34c0311efeb,683d8d05c709d34c0311e2cf,promocao,Denuncio verecundia decerno inflammatio.,Minima ipsam cunctatio vehemens.,683d8d06c709d34c0311e83b,683d8d05c709d34c0311e487,2025-01-04T12:25:16.115Z,true,,abrir_pedido,683d8d06c709d34c0311e83b,app_mobile,true,media
683d8d07c709d34c0311efed,683d8d05c709d34c0311e2cf,avaliacao_lembrete,Venustas valetudo eius aeger.,Vester alioqui paulatim.,683d8d06c709d34c0311e83b,683d8d05c709d34c0311e487,2025-03-08T20:07:19.885Z,false,,abrir_pedido,683d8d06c709d34c0311e83b,app_mobile,true,alta
683d8d07c709d34c0311efef,683d8d05c709d34c0311e3b3,status_pedido,Cedo dolorem charisma spargo.,Una stillicidium atrocitas distinctio vociferor decumbo vitium timor volaticus defero.,683d8d06c709d34c0311e83c,683d8d05c709d34c0311e483,2025-05-25T18:46:28.453Z,true,,abrir_pedido,683d8d06c709d34c0311e83c,app_mobile,true,alta
683d8d07c709d34c0311eff9,683d8d05c709d34c0311e311,avaliacao_lembrete,Color utroque tepidus adhaero.,Canonicus adficio ad vulnus quaerat adipisci.,683d8d06c709d34c0311e83f,683d8d05c709d34c0311e493,2025-01-12T14:11:45.875Z,false,,abrir_pedido,683d8d06c709d34c0311e83f,app_mobile,true,media
683d8d07c709d34c0311effb,683d8d05c709d34c0311e2cd,avaliacao_lembrete,Depono villa cribro defetiscor.,Tandem acsi teres vesco.,683d8d06c709d34c0311e840,683d8d05c709d34c0311e495,2024-10-31T21:18:33.495Z,false,,abrir_pedido,683d8d06c709d34c0311e840,app_mobile,true,alta
683d8d07c709d34c0311effc,683d8d05c709d34c0311e2cd,avaliacao_lembrete,Asper stillicidium atrox arto.,Appositus deprecator thesaurus patria voluptas una tremo crudelis vesco.,683d8d06c709d34c0311e840,683d8d05c709d34c0311e495,2025-03-21T05:11:01.543Z,true,,abrir_pedido,683d8d06c709d34c0311e840,app_mobile,true,media
683d8d07c709d34c0311effd,683d8d05c709d34c0311e3ac,promocao,Umerus cauda aestas eos.,Conforto amplus strues valens valetudo.,683d8d06c709d34c0311e841,683d8d05c709d34c0311e48f,2024-11-01T02:41:17.487Z,false,,abrir_pedido,683d8d06c709d34c0311e841,app_mobile,true,media
683d8d07c709d34c0311efff,683d8d05c709d34c0311e3ac,promocao,Cohors caecus tutamen bardus.,Cuppedia alius adimpleo sodalitas decimus tunc.,683d8d06c709d34c0311e841,683d8d05c709d34c0311e48f,2025-05-10T07:34:22.089Z,false,,abrir_pedido,683d8d06c709d34c0311e841,app_mobile,true,media
683d8d07c709d34c0311f000,683d8d05c709d34c0311e28c,promocao,Universe surculus illum studio.,Tamdiu demo sed.,683d8d06c709d34c0311e842,683d8d05c709d34c0311e4a4,2025-04-17T02:27:36.818Z,false,,abrir_pedido,683d8d06c709d34c0311e842,app_mobile,true,alta
683d8d07c709d34c0311f001,683d8d05c709d34c0311e28c,status_pedido,Laborum tabella cado caelestis.,Caste absum credo volubilis decumbo tamen tonsor aspicio.,683d8d06c709d34c0311e842,683d8d05c709d34c0311e4a4,2024-12-13T20:01:38.573Z,false,,abrir_pedido,683d8d06c709d34c0311e842,app_mobile,true,media
